CUSIP,Maturity,Ticker,Issue Date,Cpn,Coupon Type,Coupon Freq,Issued Amount,Next Call Date,Composite Rating,Maturity Type,Announce,Currency,Ask Price
459200AM3,10/30/2025,IBM,10/30/1995,7,FIXED,2,600000000,#N/A Field Not Applicable,A-,AT MATURITY,10/25/1995,USD,105.153
459200KY6,2/6/2033,IBM,2/6/2023,4.75,FIXED,2,750000000,11/6/2032,A-,CALLABLE,1/30/2023,USD,98.497
459200KX8,2/6/2028,IBM,2/6/2023,4.5,FIXED,2,1000000000,1/6/2028,A-,CALLABLE,1/30/2023,USD,98.412
459200KZ3,2/6/2053,IBM,2/6/2023,5.1,FIXED,2,650000000,8/6/2052,A-,CALLABLE,1/30/2023,USD,95.427
459200HU8,2/12/2024,IBM,2/12/2014,3.625,FIXED,2,2000000000,#N/A Field Not Applicable,A-,AT MATURITY,2/6/2014,USD,98.749
459200GS4,11/30/2039,IBM,11/30/2009,5.6,FIXED,2,1545095000,#N/A Field Not Applicable,A-,AT MATURITY,11/6/2009,USD,102.607
459200KS9,7/27/2025,IBM,7/27/2022,4,FIXED,2,1000000000,#N/A Field Not Applicable,A-,AT MATURITY,7/20/2022,USD,98.575
459200JZ5,5/15/2026,IBM,5/15/2019,3.3,FIXED,2,3000000000,#N/A Field Not Applicable,A-,AT MATURITY,5/8/2019,USD,95.509
459200KA8,5/15/2029,IBM,5/15/2019,3.5,FIXED,2,3250000000,#N/A Field Not Applicable,A-,AT MATURITY,5/8/2019,USD,92.571
459200KJ9,5/15/2030,IBM,5/7/2020,1.95,FIXED,2,1350000000,2/15/2030,A-,CALLABLE,4/30/2020,USD,82.667
459200KV2,7/27/2052,IBM,7/27/2022,4.9,FIXED,2,750000000,1/27/2052,A-,CALLABLE,7/20/2022,USD,92.277
459200JY8,5/15/2024,IBM,5/15/2019,3,FIXED,2,3000000000,#N/A Field Not Applicable,A-,AT MATURITY,5/8/2019,USD,97.795
459200AN1,10/30/2045,IBM,10/30/1995,7,FIXED,2,150000000,#N/A Field Not Applicable,A-,AT MATURITY,10/25/1995,USD,116.653
459200BB6,11/29/2032,IBM,11/27/2002,5.875,FIXED,2,600000000,#N/A Field Not Applicable,A-,AT MATURITY,11/20/2002,USD,107.697
459200KU4,7/27/2032,IBM,7/27/2022,4.4,FIXED,2,750000000,4/27/2032,A-,CALLABLE,7/20/2022,USD,96.377
459200KC4,5/15/2049,IBM,5/15/2019,4.25,FIXED,2,3000000000,#N/A Field Not Applicable,A-,AT MATURITY,5/8/2019,USD,84.949
459200HP9,8/1/2023,IBM,8/1/2013,3.375,FIXED,2,1500000000,#N/A Field Not Applicable,A-,AT MATURITY,7/29/2013,USD,99.33
459200HF1,6/20/2042,IBM,6/20/2012,4,FIXED,2,1107313000,#N/A Field Not Applicable,A-,AT MATURITY,5/21/2012,USD,84.416
459200AR2,8/1/2027,IBM,8/4/1997,6.22,FIXED,2,500000000,#N/A Field Not Applicable,A-,PUTABLE,7/30/1997,USD,105.949
459200KT7,7/27/2027,IBM,7/27/2022,4.15,FIXED,2,750000000,6/27/2027,A-,CALLABLE,7/20/2022,USD,97.556
459200KB6,5/15/2039,IBM,5/15/2019,4.15,FIXED,2,2000000000,#N/A Field Not Applicable,A-,AT MATURITY,5/8/2019,USD,87.092
459200JG7,2/19/2026,IBM,2/19/2016,3.45,FIXED,2,1350000000,#N/A Field Not Applicable,A-,AT MATURITY,2/16/2016,USD,96.132
459200JR3,1/27/2027,IBM,1/27/2017,3.3,FIXED,2,500000000,#N/A Field Not Applicable,A-,AT MATURITY,1/24/2017,USD,94.753
459200AS0,1/15/2028,IBM,1/9/1998,6.5,FIXED,2,700000000,#N/A Field Not Applicable,A-,AT MATURITY,1/6/1998,USD,108.781
459200KN0,2/9/2032,IBM,2/9/2022,2.72,FIXED,2,500000000,11/9/2031,A-,CALLABLE,2/2/2022,USD,85.271
459200KH3,5/15/2027,IBM,5/7/2020,1.7,FIXED,2,1250000000,3/15/2027,A-,CALLABLE,4/30/2020,USD,88.612
459200KM2,2/9/2027,IBM,2/9/2022,2.2,FIXED,2,650000000,1/9/2027,A-,CALLABLE,2/2/2022,USD,90.821
459200KK6,5/15/2040,IBM,5/7/2020,2.85,FIXED,2,650000000,11/15/2039,A-,CALLABLE,4/30/2020,USD,73.156
459200KP5,2/9/2052,IBM,2/9/2022,3.43,FIXED,2,650000000,8/9/2051,A-,CALLABLE,2/2/2022,USD,72.281
459200AP6,12/1/2096,IBM,12/6/1996,7.125,FIXED,2,850000000,#N/A Field Not Applicable,A-,AT MATURITY,12/3/1996,USD,130.441
459200KL4,5/15/2050,IBM,5/7/2020,2.95,FIXED,2,750000000,11/15/2049,A-,CALLABLE,4/30/2020,USD,67.381
459200JH5,2/19/2046,IBM,2/19/2016,4.7,FIXED,2,650000000,#N/A Field Not Applicable,A-,AT MATURITY,2/16/2016,USD,91.118
459200GL9,10/15/2038,IBM,10/15/2008,8,FIXED,2,1000000000,#N/A Field Not Applicable,A-,AT MATURITY,10/9/2008,USD,123.582
